post_idx,company,source,ticker,created_datetime,sentiment_label,bert_text,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_neutral,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,dominant_topic,dominant_topic_prob
starbucks_00000,starbucks,stocktwits,SBUX,2026-05-28T20:03:50Z,Bullish,$SBUX prices increased by 11% i think across the board. This is for a standard small (tall) coffee,0.0007538309437222,0.000137739960337,9.208455594489352e-05,0.000600233732257,0.0167120099067688,8.70613512233831e-05,0.0001565788406878,0.0001008975305012,0.0001279474963666,0.0002521064307074,0.0003683701797854,9.961226169252768e-05,2.721539385674987e-05,0.0002944076550193,4.190496474620886e-05,7.075682515278459e-05,1.7954615032067522e-05,0.0001719311403576,0.0001575730420881,2.211625360359903e-05,0.975860595703125,0.00065537012415,5.84857480134815e-05,0.002858163556084,7.06586433807388e-05,2.0995617887820117e-05,7.908865518402308e-05,0.0001042643052642,0.017881330102682114,0.017862068489193916,0.017903517931699753,0.5612654089927673,0.33142954111099243,0.01789996773004532,0.017887912690639496,0.01787024550139904,3,0.5612654089927673
starbucks_00001,starbucks,stocktwits,SBUX,2026-05-28T18:31:58Z,,$SBUX Anyone that lived through a previous recession knows why this underperforming the market. The drop is coming.,0.0004674976808018,0.0002426978317089,0.0006087737856432,0.0132787842303514,0.011709788814187,0.0012515117414295,0.003794414922595,0.001417794264853,0.0017391043948009,0.1501689404249191,0.0096124578267335,0.0006429984932765,0.0007615088834427,0.0003219364443793,0.0006962277693673,7.777859718771651e-05,0.0004399581521283,0.0003671013691928,0.0005493226344697,0.0013508716365322,0.7492146492004395,0.0081713870167732,0.000123295103549,0.0270570907741785,0.0005641828174702,0.0007527252892032,0.0140072535723447,0.0006099755992181,0.518541157245636,0.015634959563612938,0.015642259269952774,0.201541006565094,0.015636203810572624,0.015632066875696182,0.20173262059688568,0.015639759600162506,0,0.518541157245636
starbucks_00002,starbucks,stocktwits,SBUX,2026-05-28T17:38:32Z,,$SBUX Discretionary spending based businesses vs consumers with no money- no wonder Cramer told people to buy this today.,0.0002755682216957,0.0002720916527323,7.4562500230968e-05,0.0006108648958615,0.0023177447728812,3.889080471708439e-05,7.865746738389134e-05,7.481243665097281e-05,3.799413752858527e-05,0.0002407021820545,0.0001908459380501,9.55264549702406e-05,4.847050513490103e-05,0.0001622130948817,4.210042243357748e-05,2.839630178641528e-05,1.6923233488341793e-05,0.0001119444859796,5.718982720281929e-05,1.7684373233350925e-05,0.9938108325004578,0.0001714810787234,2.74974008789286e-05,0.0009491291129961,3.053261389140971e-05,1.4794431990594605e-05,7.288640335900709e-05,0.0001297354610869,0.013908224180340767,0.013919137418270111,0.01391261350363493,0.5831024050712585,0.013895067386329174,0.013900873251259327,0.013908489607274532,0.3334531784057617,3,0.5831024050712585
starbucks_00003,starbucks,stocktwits,SBUX,2026-05-28T15:55:46Z,,Starbucks says afternoon traffic is rising as turnaround starts to take hold $sbux,0.000320034683682,0.000255300925346,5.500924453372136e-05,0.0003344574361108,0.0054743364453315,0.0001333572581643,0.0001115123959607,9.290005982620642e-05,0.0002738480106927,0.0002056228549918,0.0001091377998818,0.0001094525796361,5.661227987729944e-05,0.0007867459789849,0.0001117021674872,0.0001132120887632,3.627621481427923e-05,0.0004757634887937,0.000133635563543,6.284566188696772e-05,0.987380027770996,0.0006021942244842,8.140607678797096e-05,0.0022115448955446,0.0001275855320272,5.012681504013017e-05,0.0001657699613133,0.0001295472611673,0.013929910026490688,0.01389393676072359,0.9026514887809753,0.013896526768803596,0.013892851769924164,0.013916156254708767,0.013921398669481277,0.013897744938731194,2,0.9026514887809753
starbucks_00004,starbucks,stocktwits,SBUX,2026-05-28T14:54:12Z,,"In a blog post last month, Starbucks said that in fiscal year 2025 hours after 11 a.m. generated $11 billion in sales in the United States. A major contributor has been Starbucks’ Refreshers platform, which executives say is now the company’s second-best-selling beverage category behind espresso. The afternoon momentum adds to signs that Niccol’s early turnaround efforts are beginning to gain traction. Starbucks recently posted stronger-than expected quarterly earnings, reassuring investors who have been closely watching traffic trends, pricing and operational improvements under the new leadership team. The chain’s traffic grew for the second straight quarter. $SBUX",0.0295679084956645,0.000683473481331,0.0002183157776016,0.0018712151795625,0.2437858432531356,0.00405666930601,0.0006264761905185,0.0004301144217606,0.0036522296722978,0.0033953231759369,0.0010322155430912,0.000463399948785,0.0005445939023047,0.0104098515585064,0.0009875706164166,0.0069351377896964,0.0006823504227213,0.010360243730247,0.0006718878285028,0.0010586198186501,0.5717212557792664,0.0431241169571876,0.0075107528828084,0.0406987033784389,0.0104631353169679,0.0004883959772996,0.0014738620957359,0.0030862686689943,0.00223508826456964,0.002233985811471939,0.9843578934669495,0.0022333634551614523,0.00223395973443985,0.0022347699850797653,0.002235760912299156,0.0022351909428834915,2,0.9843578934669495
starbucks_00005,starbucks,stocktwits,SBUX,2026-05-28T14:53:50Z,,"We are seeing more customers stop in later in the day, whether for a break, something refreshing or a few minutes in the coffeehouse,” said Erin Silvoy, senior vice president of global marketing and channel development. “Mornings continue to be a strong foundation for Starbucks. What is emerging is something additive: more occasions, more ways to visit and more reasons to come in throughout the day,” said Silvoy. In a blog post last month, Starbucks said that in fiscal year 2025 hours after 11 a.m. generated $11 billion in sales in the United States. $SBUX",0.0013756935950368,0.00023432233138,6.958473386475816e-05,0.0005225703353062,0.0394531041383743,0.0003125797957181,0.0003777382080443,0.0001844899961724,0.0005035181529819,0.0005246366490609,0.0004836443695239,0.000151664004079,6.635555473621935e-05,0.00053745158948,0.0001202525163535,0.0003084900381509,5.6847271480364725e-05,0.0004788812366314,0.0003028587379958,8.648233051644638e-05,0.938246726989746,0.0024371955078095,0.0001919213973451,0.0122282886877655,0.0002745903329923,8.166583575075492e-05,0.0002011180913541,0.0001873602595878,0.00403801491484046,0.00403621094301343,0.9717427492141724,0.004036933183670044,0.004035335034132004,0.004037715028971434,0.004038367886096239,0.004034666810184717,2,0.9717427492141724
starbucks_00006,starbucks,stocktwits,SBUX,2026-05-28T14:53:38Z,,"Afternoon traffic is becoming a bigger growth engine for Starbucks , the company said Thursday, as it pushes deeper into a key part of CEO Brian Niccol’s turnaround strategy. The coffee giant is seeing more customers visit U.S. stores after 2 p.m., with the strongest growth window coming between 3 p.m. and 5 p.m., according to data shared exclusively with CNBC. It covers the 90 days between February 15 and May 16. It’s an encouraging sign for Starbucks as it works to drive more consistent traffic beyond the morning coffee rush. As Niccol tries to return the chain to steady growth, Starbucks has targeted both repeat visits and longer stays throughout the day. $SBUX",0.0464311651885509,0.0004425604420248,0.0002071931812679,0.0015693975146859,0.4760580658912658,0.0035734127741307,0.0007704043528065,0.0005085985758341,0.0048657422885298,0.0015714553883299,0.0013183000264689,0.0003999184118583,0.0002438151714159,0.0094113890081644,0.0006512532709166,0.0026304104831069,0.0002891678886953,0.0059284870512783,0.0011581385042518,0.000627321540378,0.3549476861953735,0.0466239489614963,0.0057358513586223,0.0277555007487535,0.0044508394785225,0.0002832151367329,0.0005384021205827,0.0010083960369229,0.0027201115153729916,0.002721124328672886,0.7269071340560913,0.002720886142924428,0.0027192796114832163,0.2567683756351471,0.0027208258397877216,0.0027222756762057543,2,0.7269071340560913
starbucks_00007,starbucks,stocktwits,SBUX,2026-05-28T14:20:05Z,,$SBUX | STARBUCKS PUSHES AFTERNOON GROWTH - CNBC Starbucks afternoon traffic (via internal data) ﻿﻿* U.S. coffeehouses seeing jump in visits after 2 p.m. ﻿﻿* Strongest growth window between 3 p.m. to 5 p.m. ﻿﻿* Data reflects 90 days between Feb. 15 to May 16 * Sales in U.S. Market after 11 a.m.: $11B,0.0001660857815295,0.0001222019345732,5.5882162996567786e-05,0.0003394741215743,0.0022314442321658,4.32284978160169e-05,9.570304973749444e-05,9.88776228041388e-05,9.746013529365882e-05,0.0002141804288839,9.867246262729168e-05,9.286709246225656e-05,3.368899706401862e-05,0.0002095012750942,6.27953268121928e-05,1.7024529370246455e-05,2.000433778448496e-05,0.0001026508834911,0.0001049455677275,2.4844073777785525e-05,0.9941052198410034,0.0001899655617307,2.261418558191508e-05,0.0011890151072293,2.830080302373972e-05,1.529020482848864e-05,0.0001113412872655,0.0001066463155439,0.005446160677820444,0.005437221843749285,0.4247567057609558,0.005437047220766544,0.005437733139842749,0.542600691318512,0.005438382271677256,0.005446041468530893,5,0.542600691318512
starbucks_00008,starbucks,stocktwits,SBUX,2026-05-28T12:46:00Z,,$SBUX not a good print for personal income in terms of discretionary spending,0.0009742547990754,0.0006151847192086,0.0019878179300576,0.0210556164383888,0.0049389810301363,0.0003983744536526,0.0011293779825791,0.0002944755251519,0.0003388703917153,0.0155098484829068,0.3189015388488769,0.0021887884940952,0.0005749315023422,0.0002328841219423,0.0002455697685945,0.0003830707573797,0.0001376833242829,0.0003179171180818,0.0004457913746591,0.0001152780241682,0.6224278211593628,0.0007079264614731,9.09593072719872e-05,0.0038153785280883,0.0001586680591572,0.0002668257802724,0.0014069591416046,0.0003391541249584,0.015634827315807343,0.015641408041119576,0.015638157725334167,0.7577009201049805,0.015639109537005424,0.14847156405448914,0.015639983117580414,0.015634022653102875,3,0.7577009201049805
starbucks_00009,starbucks,stocktwits,SBUX,2026-05-28T10:04:00Z,Bullish,$UPDOG.X $SBUX What flavor coffee is that? UpDog?,0.000703171826899,0.0008285728981718,0.0008757760515436,0.0026105381548404,0.0030624195933341,0.000366847962141,0.1018724888563156,0.2929384112358093,0.000378993951017,0.0005016159266233,0.0011391411535441,0.0004723984457086,0.0002225442294729,0.0006840027635917,0.0002913286443799,0.0002298341860296,8.532745414413512e-05,0.0003189626440871,0.0008149417699314,0.0001151524629676,0.587333083152771,0.0006628393311984,2.126499748555943e-05,0.0013904015067964,4.8093279474414885e-05,0.0001252984075108,0.0003017361450474,0.0016048494726419,0.06252576410770416,0.06250019371509552,0.06253278255462646,0.5623713135719299,0.0625021830201149,0.06250101327896118,0.06252259761095047,0.06254419684410095,3,0.5623713135719299
