post_idx,company,source,ticker,created_datetime,sentiment_label,bert_text,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_neutral,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic,dominant_topic_prob
chipotle_00000,chipotle,stocktwits,CMG,2026-05-28T19:25:21Z,,"$CMG Been stuck between $33.62 and $31.63 for 4 weeks now, assuming it doesn&#39;t breakout one way or another tomorrow. It&#39;s barely moving at all.",7.219379767775536e-05,0.0001250559289474,0.0002094121155096,0.0029939527157694,0.0012815959053114,0.0001655655942158,0.0008915645885281,0.0001555300259497,0.0002006112190429,0.0044119046069681,0.0062967832200229,0.0001886099780676,0.0001058490524883,5.054186476627365e-05,9.701646195026116e-05,4.757995338877663e-05,5.0169976020697504e-05,7.764432666590437e-05,5.569624772761017e-05,8.370666182599962e-05,0.9785200953483582,0.0009819904807955,2.0655523258028552e-05,0.0020939426030963,5.785431858384982e-05,7.263875886565074e-05,0.0005889639724045,0.0001028745828079,0.013022826984524727,0.012927726842463017,0.012945855036377907,0.9353045225143433,0.01290986966341734,0.012889192439615726,3,0.9353045225143433
chipotle_00001,chipotle,stocktwits,CMG,2026-05-28T19:04:11Z,Bullish,$CMG Look BELOW Folks! Dont miss out and have to chase later. Great Entry now! Come back and thank me later! 👌🏾 Reversals Incoming!!! $SCHW Analyst Bullish - Hit all time low $BSX Great Entry- At all time low $MCD Analysts Signal Outperform $WMT BUY Signals! These will be the next runners!💥🔥📈Tag this post 👍🏾,0.7856751680374146,0.000168719983776,0.0002804646501317,0.0011063243728131,0.0323130264878273,0.0034370345529168,0.0004410624678712,0.0006363315624184,0.0024913530796766,0.0007631072076037,0.0022537033073604,0.0001502618542872,7.549468136858195e-05,0.0026114012580364,0.0001774684351403,0.0943143144249916,0.0001383519556839,0.0007090787403285,0.0004472286673262,7.310715591302142e-05,0.0064798640087246,0.0594570003449916,0.0023029255680739,0.0019330590730533,0.000645343447104,0.0001728835486574,0.0002696965821087,0.0004762804601341,0.005604195408523083,0.005589562468230724,0.005593280773609877,0.005634278990328312,0.9719751477241516,0.005603558383882046,4,0.9719751477241516
chipotle_00002,chipotle,stocktwits,CMG,2026-05-28T18:58:48Z,Bullish,$CMG needs to focus on returning Stock up to $50.,0.0001914027525344,6.835207750555128e-05,8.650059317005798e-05,0.0004796710563823,0.0014442747924476,0.0003335423243697,6.57136770314537e-05,5.56053091713693e-05,0.0008246926008723,0.0002754328597802,0.0002585774927865,8.486296428600326e-05,2.08336059586145e-05,9.068704093806446e-05,6.313827179837972e-05,7.197419472504407e-05,2.4700722860870883e-05,8.03996081231162e-05,6.933801341801882e-05,2.781664443318732e-05,0.9940343499183656,0.0005911784246563,2.658609810168855e-05,0.0004858177271671,3.619949711719528e-05,3.473875403869897e-05,0.0001497528282925,2.3843513190513477e-05,0.7207831740379333,0.05634049326181412,0.0555952824652195,0.05559932067990303,0.05557221546769142,0.056109469383955,0,0.7207831740379333
chipotle_00003,chipotle,stocktwits,CMG,2026-05-28T18:26:37Z,,$CMG bottomless fall eveyday.,8.830470324028283e-05,8.801976218819618e-05,0.0001084479299606,0.0002303512155776,0.0003474035765975,4.043562876177021e-05,6.988235691096634e-05,5.144052192918025e-05,5.036668881075457e-05,0.0001177267549792,0.000107633852167,7.299433491425589e-05,2.458884409861639e-05,8.239346061600372e-05,5.250815229373984e-05,2.7264755772193897e-05,1.745868030411657e-05,7.330322841880843e-05,6.047335409675725e-05,1.4048887351236772e-05,0.9978761672973632,6.20414866716601e-05,1.2161279300926252e-05,0.000169389633811,1.169758616015315e-05,1.3783899703412317e-05,9.545029024593532e-05,3.425903196330182e-05,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0,0.1666666716337204
chipotle_00004,chipotle,stocktwits,CMG,2026-05-28T17:54:05Z,,$CMG i want to hate on this so much but then i look at all the other stocks in the same industry in the shitter as well. im in as long as 32 continues to hold idk,0.0004435900482349,0.0019342391751706,0.1782151609659195,0.5412734746932983,0.0055396007373929,0.0004473544831853,0.0082522258162498,0.0013789650984108,0.001329727936536,0.0125656761229038,0.0463174767792224,0.0121024195104837,0.0017509351018816,0.0005351940053515,0.0006381351849995,0.0002341689687455,0.0002005345450015,0.0005779468920081,0.0003270745219197,0.0003148280957248,0.1762371510267257,0.0014278379967436,0.0001741230225889,0.0056676655076444,0.0001488785055698,0.00019743325538,0.0011161076836287,0.0006520721362903,0.013981666415929794,0.013990499079227448,0.014146425761282444,0.014011864550411701,0.014031138271093369,0.9298384189605713,5,0.9298384189605713
chipotle_00005,chipotle,stocktwits,CMG,2026-05-28T17:04:30Z,,$CMG Wow. What a shty company and management.,0.8385064601898193,0.0032753641717135,0.0029020984657108,0.0083565721288323,0.0043426696211099,0.0001432283606845,0.0005418145447038,0.0016156560741364,0.0005162277957424,0.0035090583842247,0.0023181706201285,0.002484472701326,0.0009694736218079,0.0232574511319398,0.0004452744615264,0.0003890631778631,0.000231929399888,0.0025880073662847,0.0009877569973468,0.0001065243923221,0.0137041760608553,0.0006852156366221,0.0014897292712703,0.0028045333456248,0.000269924319582,8.414278272539377e-05,0.0003900177252944,0.0830850824713707,0.721613883972168,0.05556494742631912,0.055613186210393906,0.0556725412607193,0.055695876479148865,0.05583960935473442,0,0.721613883972168
chipotle_00006,chipotle,stocktwits,CMG,2026-05-28T13:46:09Z,,$CMG daily dump and wash. they must hate this one so much and keep beating the dead horse again and again,0.0012506971834227,0.0008262398187071,0.5175136923789978,0.1471787542104721,0.0034741787239909,0.0013443741481751,0.0008526122546754,0.0008283088682219,0.0008426994900219,0.0058514969423413,0.012486265040934,0.0161460191011428,0.0011143445735797,0.0003513383562676,0.0008574734674766,0.000332587165758,0.0004203966818749,0.0004603814159054,0.0006283881957642,0.0001840918994275,0.278784841299057,0.0009610631386749,0.0002284199290443,0.0017992253415286,0.0001234906521858,0.0003198075282853,0.004460419062525,0.0003784593427553,0.016757739707827568,0.016689136624336243,0.9160121083259583,0.016696089878678322,0.01696820929646492,0.01687668450176716,2,0.9160121083259583
chipotle_00007,chipotle,stocktwits,CMG,2026-05-27T22:08:53Z,Bullish,$CMG need dog meat burritos to boost sales,0.0002191405801568,0.0001069697973434,8.611501834820956e-05,0.0003690021694637,0.0013364449841901,0.0001023940058075,6.054096593288705e-05,8.409938891418278e-05,0.000647040491458,0.0001816098229028,0.0001304396719206,9.61216792347841e-05,2.0944899006281048e-05,0.0002298002073075,4.7462035581702366e-05,5.414094266598113e-05,1.9644297935883515e-05,9.923762263497338e-05,0.0001222810678882,1.6698091712896712e-05,0.9950392842292786,0.0003929008089471,2.506513010303024e-05,0.0002997494011651,2.1539022782235406e-05,2.7523436074261554e-05,0.0001254103117389,3.835383540717885e-05,0.023828642442822456,0.024030979722738266,0.47559264302253723,0.02386360801756382,0.42870086431503296,0.023983260616660118,2,0.47559264302253723
chipotle_00008,chipotle,stocktwits,CMG,2026-05-27T20:42:28Z,,$CMG motherfuckers just dont want this over 33.,0.0007674560765735,0.0010025593219324,0.4494852423667907,0.2372192144393921,0.0035143168643116,0.0009823105065152,0.0015397592214867,0.0011768557596951,0.0006790999323129,0.0042891157791018,0.0406479313969612,0.0064664166420698,0.0008906566072255,0.0005142407608218,0.0003866961924359,0.0003553176356945,0.000184927121154,0.000615430471953,0.0005378632922656,0.0001377991284243,0.2439638972282409,0.0007507326081395,0.0001683048321865,0.0017704344354569,0.0001112713580369,0.000166171361343,0.0010168037842959,0.0006592135177925,0.04182485118508339,0.7892413139343262,0.04199285805225372,0.04277602955698967,0.042360179126262665,0.04180476441979408,1,0.7892413139343262
chipotle_00009,chipotle,stocktwits,CMG,2026-05-27T19:21:03Z,,$CMG i’m just curious what do you think why take such a large position prior to earnings on July 29? ￼,0.0011989476624876,0.0005492366035468,0.0002946613531094,0.0006321930559352,0.0014611801598221,0.0008040224201977,0.0059621944092214,0.9700818061828612,0.0007874041330069,0.0002657581644598,0.0004657029348891,0.0001415856968378,7.889002881711349e-05,0.0011867579305544,0.0002166088524973,0.0003145310620311,5.665763819706626e-05,0.0003306792350485,0.0008805255638435,0.000128686267999,0.0117037966847419,0.0009606388048268,1.143093868449796e-05,0.0003549453977029,4.4264059397391975e-05,0.0001347468787571,0.0002488769823685,0.0007033299771137,0.02382740005850792,0.6958547830581665,0.02405140921473503,0.2084699124097824,0.023875560611486435,0.023920968174934387,1,0.6958547830581665
